step,success_rate,avg_sum_reward,avg_max_reward
10K,16,105.94,0.758
20K,22,101.56,0.791
30K,30,103.83,0.792
40K,22,108.5,0.81
50K,20,119.96,0.784
60K,20,125.75,0.844
70K,26,108.8,0.772
80K,28,119.15,0.853
90K,16,115.29,0.789
100K,18,118.27,0.786
110K,30,114.68,0.811
120K,22,106.35,0.795
130K,28,115.27,0.802
140K,22,120.28,0.815
150K,20,115.18,0.788
160K,36,105.84,0.823
170K,32,108.11,0.831
180K,30,106.28,0.797
190K,36,112.84,0.852
200K,36,113.87,0.786
