step,success_rate,avg_sum_reward,avg_max_reward
10K,0,113.51,0.595
20K,12,140.97,0.823
30K,24,132.69,0.82
40K,8,139.55,0.779
50K,10,153.65,0.876
60K,10,137.97,0.751
90K,26,135.4,0.814
100K,10,149.51,0.844
110K,34,127.24,0.851
120K,26,130.48,0.827
130K,12,153.22,0.851
140K,34,129.15,0.853
150K,28,129.65,0.858
160K,46,112.24,0.82
170K,46,110.16,0.828
180K,36,118.35,0.869
190K,40,118.83,0.852
200K,48,103.78,0.873
