step,success_rate,avg_sum_reward,avg_max_reward
10K,18,140.5,0.873
20K,30,117.03,0.854
30K,34,122.21,0.846
40K,24,122.17,0.769
50K,26,117.98,0.776
60K,26,127.93,0.854
70K,20,134.12,0.856
80K,26,112.01,0.762
90K,44,122.26,0.856
100K,40,112.13,0.801
110K,32,115.19,0.832
120K,38,113.58,0.85
130K,46,110.8,0.869
140K,48,113.58,0.889
150K,42,87.5,0.757
160K,34,109.17,0.823
170K,38,113.58,0.835
180K,36,110.8,0.826
190K,40,113.58,0.812
200K,36,107.5,0.823
